topicID,topic_terms,terms_relevance
5,ayudar,279.74683791399
5,lugar,243.59354749321938
5,pasar,242.66518652439117
5,ten_cuidado_pasar,241.38454347848892
5,cuidado_pasar,241.38452485203743
5,cuidado_pasar_lugar,241.38431996107101
5,pasar_lugar,240.9830316901207
5,habitación,85.0837491452694
5,transitar_encontrarás,83.14657025039196
5,transitar_encontrarás_atendido,83.14657025039196
5,casa_habitación,81.22740313410759
5,san,74.30772297084332
5,madero,63.42762615531683
5,av,59.693059884011745
6,tlalpan,439.9903863668442
6,call,439.92605060338974
6,todo,398.11238646507263
6,call_tlalpan,316.29469245672226
6,cargar,233.14740508794785
6,velocidad,229.15057837963104
6,peligro,218.6504751443863
6,autopisto,213.75978365540504
6,constante,210.5245180428028
6,circulacion,206.424780189991
6,noche,202.95077934861183
6,bj,200.99623128771782
6,camión,196.3350549340248
6,todo_noche,188.69806081056595
6,sur-norte,181.30527809262276
6,todo_velocidad,180.97946420311928
6,inminente,179.98617142438889
6,nativas,179.1762001812458
6,nativas_bj,176.69504508376122
6,bj_sur-norte_peligro,176.19865015149117
6,nativas_bj_sur-norte,176.1985942721367
6,bj_sur-norte,176.19851976633072
6,noche_todo_velocidad,176.19851976633072
6,sur-norte_peligro,176.19840800762177
6,tlalpan_nativas_bj,176.19840800762177
6,noche_todo,176.19840800762177
6,tlalpan_nativas,176.19825899600983
6,call_tlalpan_nativas,176.19825899600983
6,todo_noche_todo,176.19822174310684
6,puerto,171.1386814713478
7,hacer,200.1376636326313
7,reglamento,186.2204074859619
7,calle,170.86559906601906
7,accidente,143.7638606876135
7,carril,135.68292371928692
7,poder,129.78187762200832
7,día,113.18229138851166
7,vehículo,106.88710957765579
7,si,98.58907200396061
7,tlalpan,98.15308265388012
7,estacionado,96.73166088759899
7,policía,80.1054947078228
7,apoyo,79.01826873421669
7,ir,75.82169026136398
7,auto,73.00856988877058
7,solicitar,71.3582569733262
7,camión,70.60261443257332
7,dar,70.58962248265743
7,colonia,68.28681565821171
7,cdmx,65.75990468263626
7,buen,64.90684114396572
7,reportar,64.28997963666916
7,solo,64.11162205040455
7,ver,61.65230181068182
7,reporte,61.12729199230671
7,quemar,60.960366390645504
7,transito,59.27886348217726
7,obstruir,58.04601591080427
7,persona,57.94689059257507
7,favor,57.486649602651596
8,servicio,493.02369356155396
8,juarez,412.6030206680298
8,colonia,389.30725306272507
8,benito,358.7109223008156
8,benito_juarez,355.4825857281685
8,emergencia,310.355257242918
8,emergencio,287.5731326639652
8,san,264.388807117939
8,alcaldía,260.0260078907013
8,servicio_emergencio,224.85872730612755
8,servicio_emergencia,217.00700744986534
8,col,208.5692621767521
8,laborar,180.27206882834435
8,santa,132.7911950647831
8,av,125.40403753519058
8,trabajar,124.51591901481152
8,lugar,115.54001830518246
8,alcaldía_benito,105.23022152483463
8,alcaldía_benito_juarez,104.46134023368359
8,acudir,100.63774883747101
8,calle,100.62865912914276
8,pastizal,94.39886547625065
8,dirigir,83.82726460695267
8,reportar,82.50548504292965
8,juan,74.4160683825612
8,maría,73.48957005888224
8,colonia_san,72.52863142639399
8,iztapalapa,72.33156356960535
8,vehículo,71.49314973503351
8,emergencia_trabajar,70.99143229424953
9,alvaro_obregon,3335.624039173126
9,alvaro,3180.20761013031
9,obregon,2580.8796286582947
9,alcaldía_alvaro,151.23916789889336
9,alcaldía_alvaro_obregon,150.09948052465916
9,quiroga,89.97469209134579
9,vasco,88.62337097525597
9,vasco_quiroga,87.75199763476849
9,sierro,57.866149581968784
9,prolongación,44.838632456958294
9,av_javier,35.21362319588661
9,javier,28.99766666814685
9,cuidado,15.527851646766067
9,obra_av,13.947153929620981
9,zona,9.572728886269033
9,paseo_reforma,8.88562819454819
9,alvaro_obregon_permanecer,7.185384165495634
9,obregon_permanecer,7.185384165495634
9,obregon_permanecer_carril,7.185384165495634
9,transitar,7.016508607193828
9,fe,6.2991626327857375
9,reportado,4.087116976734251
9,ambos,3.8843738730065525
9,reportado_recomendar,3.632916195783764
9,reportado_recomendar_tener,3.631848085206002
9,reforma,3.560833865776658
