coordinateID,geoID,geoName,longitude,latitude
c238,7,Iztapalapa,-99.0567989642,19.3491663204
c239,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c240,13,Xochimilco,-99.0903636045,19.2451450458
c241,11,Tláhuac,-99.0028216137,19.2769983772
c242,14,Benito Juárez,-99.1611346584,19.3806424162
c243,14,Benito Juárez,-99.1611346584,19.3806424162
c244,16,Miguel Hidalgo,-99.1843501,19.3998346
c245,15,Cuauhtémoc,-99.1490557562,19.4313734294
c246,10,Álvaro Obregón,-99.1919955,19.357102
c247,3,Coyoacán,-99.1503763525,19.3266672536
c248,7,Iztapalapa,-99.0567989642,19.3491663204
c249,14,Benito Juárez,-99.1611346584,19.3806424162
c250,3,Coyoacán,-99.1503763525,19.3266672536
c251,15,Cuauhtémoc,-99.128294,19.4043522
c252,17,Venustiano Carranza,-99.0931057959,19.4304954545
c253,2,Azcapotzalco,-99.1821069423,19.4853286147
c254,14,Benito Juárez,-99.1611346584,19.3806424162
c255,7,Iztapalapa,-99.0567989642,19.3491663204
c256,13,Xochimilco,-99.0903636045,19.2451450458
c257,13,Xochimilco,-99.0903636045,19.2451450458
c258,10,Álvaro Obregón,-99.246819712,19.336175562
c259,10,Álvaro Obregón,-99.246819712,19.336175562
c260,2,Azcapotzalco,-99.1821069423,19.4853286147
c261,15,Cuauhtémoc,-99.1490557562,19.4313734294
c262,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c263,13,Xochimilco,-99.0903636045,19.2451450458
c264,3,Coyoacán,-99.1503763525,19.3266672536
c265,9,Milpa Alta,-99.0510954218,19.1394565999
c266,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c267,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c268,7,Iztapalapa,-99.0567989642,19.3491663204
c269,10,Álvaro Obregón,-99.246819712,19.336175562
c270,10,Álvaro Obregón,-99.246819712,19.336175562
c271,14,Benito Juárez,-99.1611346584,19.3806424162
c272,10,Álvaro Obregón,-99.246819712,19.336175562
c273,10,Álvaro Obregón,-99.246819712,19.336175562
c274,7,Iztapalapa,-99.0567989642,19.3491663204
c275,10,Álvaro Obregón,-99.246819712,19.336175562
c276,9,Milpa Alta,-99.0510954218,19.1394565999
c277,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c278,5,Gustavo A. Madero,-99.118665,19.484399
c279,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c280,13,Xochimilco,-99.0903636045,19.2451450458
c281,13,Xochimilco,-99.0903636045,19.2451450458
