pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1482454682605916163,tránsito,@transito_vtlane donde se puede reportar un semaforo en mal funcionamiento https://t.co/NBlUl8M3cK,0,0,0,1403717692788510729,Diana Claudia,DianaCl22181576,2021-06-12 08:16:05,0,0,59,2022-01-15 14:48:33,2022,1,15,14,48,5,Gustavo A. Madero,-99.18460805682412,19.55939658821699
1483517169044439049,tránsito,Lo peor es que es bien sencillo culpar al ciudadano del problema de contaminación y tráfico! https://t.co/gDRil2xah6,1,0,0,228849628,Juan Mendoza,jmendozamx,2010-12-20 15:12:01,0,976,960,2022-01-18 13:10:30,2022,1,18,13,10,5,Gustavo A. Madero,-99.1843501,19.3998346
1483825153515700224,tránsito,"#PrecauciónVial en #EdoMex se registra cierre parcial de circulación por accidente, aproximadamente en el km  028+000 autopista (1690) México-Ecatepec, entronque Tizayuca (directo), tramo entronque Morelos- entronque Tizayuca, dirección Hidalgo. Atienda indicación vial https://t.co/SKu7BL9ebM",1,0,0,1408127653291376642,ILSP NEWS,IlspNews,2021-06-24 12:24:42,0,464,76,2022-01-19 09:34:19,2022,1,19,9,34,2,Azcapotzalco,-99.180678,19.444937
1483825274965925888,tránsito,"#PrecauciónVial en #Chiapas se registra cierre parcial de circulación por accidente, aproximadamente en el km 136+000 carretera (2540) Tapanatepec-Tuxtla Gutiérrez, tramo Ocozocoautla-Tuxtla Gutiérrez, dirección Tuxtla Gutiérrez. Atienda indicación vial https://t.co/5MHjUCEq15 https://t.co/tqweef4aEQ",1,0,1,1408127653291376642,ILSP NEWS,IlspNews,2021-06-24 12:24:42,0,464,76,2022-01-19 09:34:48,2022,1,19,9,34,2,Azcapotzalco,-99.180678,19.444937
1483825407988318218,tránsito,"#PrecauciónVial en #Chihuahua se registra cierre parcial de circulación por accidente, cerca del km 190+100 carretera (635) Chihuahua-Delicias (entronque autopista Jiménez-Delicias) tramo Delicias (entronque autopista Jiménez-Delicias, dirección Delicias. Atienda indicación vial https://t.co/AiYLLEBjiv",1,0,1,1408127653291376642,ILSP NEWS,IlspNews,2021-06-24 12:24:42,0,464,76,2022-01-19 09:35:20,2022,1,19,9,35,2,Azcapotzalco,-99.180678,19.444937
1483885654924832775,tránsito,"@eltonykings tío, es un orgasmo escucharte, disculpa lo tarde del reporte, pero ya sabe el tráfico y el trabajo no dejaban, abrazo y que la sigas rompiendo. #DetonadorNegativo  👍🏽",1,0,0,455169284,Luis Arellano,LuisArellano26,2012-01-04 14:22:23,0,220,517,2022-01-19 13:34:44,2022,1,19,13,34,5,Gustavo A. Madero,-99.2481811,19.498594
1483961718464290817,incendio,"⚠️Se registra incendio en fábrica de bicicletas sobre Calzada Coltongo y Central Sur, en la alcaldía Azcapotzalco, #CDMX. La jefa de gobierno capitalino, Claudia Sheinbaum, informa que hasta el momento no hay reporte de lesionados. (📸@vialhermes) https://t.co/QJ05O8UtgV",32,0,20,372919014,LupitaJuarez,LupitaJuarezH,2011-09-13 11:20:31,1,102469,4702,2022-01-19 18:36:59,2022,1,19,18,36,2,Azcapotzalco,19.4853286147,-99.1821069423
1483965661982478336,incendio,"Se registra #incendio en fábrica de bicicletas sobre #Calzada #COLTONGO y #CentralSur, en la alcaldía #Azcapotzalco #CDMX. La jefa de gobierno capitalino @Claudiashein, informa que hasta el momento no hay reporte de lesionados https://t.co/9BXjrezkwD",3,1,0,1027277642,cindY cAsill@s✨✨,casillas_y,2012-12-21 16:27:42,0,838,499,2022-01-19 18:52:39,2022,1,19,18,52,2,Azcapotzalco,19.4853286147,-99.1821069423
1483965899736596480,incendio,⚠️Se registra #incendio en fábrica de bicicletas sobre #CalzadaColtongo y #CentralSur en la #alcaldía #Azcapotzalco  #CDMX. La jefa de gobierno capitalino @Claudiashein informa que hasta el momento no hay reporte de lesionados. https://t.co/pa0UbKwOMT,3,0,2,1027277642,cindY cAsill@s✨✨,casillas_y,2012-12-21 16:27:42,0,838,499,2022-01-19 18:53:35,2022,1,19,18,53,2,Azcapotzalco,19.4853286147,-99.1821069423
1483991167519768578,incendio,"🔥 Se registró un fuerte incendió en una fábrica de bicicletas ubicada en la Calzada Coltongo, alcaldía Azcapotzalco, sin que hasta el momento haya reporte de lesionados.  https://t.co/Tiv2htupZD",0,0,0,1042498579909107712,ContraRéplica,ContraReplicaMX,2018-09-19 13:40:04,0,16496,2775,2022-01-19 20:34:00,2022,1,19,20,34,2,Azcapotzalco,19.4853286147,-99.1821069423
