pivotID,pubID,topicID,prevalence
t258,1110903790125965314,3,0.103447855
t259,1111003732383330304,1,0.9973236
t260,1111045393314267136,3,0.9726099
t261,1111045393314267136,4,0.014981773
t262,1111083338394230785,1,0.9973236
t263,1111086004931358720,1,0.9973236
t264,1111086133679669249,3,0.98448986
t265,1111129916043476992,3,0.99060345
t266,1111293688439889921,3,0.97701216
t267,1111293688439889921,4,0.012573849
t268,1111303208553582593,3,0.9844903
t269,1111372192070012929,2,0.6717501
t270,1111372192070012929,3,0.31749362
t271,1111579308345032704,3,0.9801951
t272,1111579308345032704,4,0.010832852
t273,1111680533199839232,1,0.9973236
t274,1111681821027287040,1,0.9973236
t275,1111686608846094336,3,0.98019457
t276,1111686608846094336,4,0.0108332625
t277,1111867063017058306,3,0.9882969
t278,1112056231458414593,3,0.97701144
t279,1112056231458414593,4,0.012574224
t280,1112479258260189184,2,0.75049645
t281,1112479258260189184,3,0.23050731
t282,1112479258260189184,4,0.014982669
t283,1112552687663497218,2,0.253707
t284,1112552687663497218,3,0.7393182
t285,1112729476335456257,2,0.9577372
t286,1112729476335456257,3,0.018769534
t287,1112729476335456257,4,0.018529493
t288,1112822401333673984,2,0.7672469
t289,1112822401333673984,3,0.2230489
t290,1113250385978843136,3,0.97701216
t291,1113250385978843136,4,0.012573842
t292,1113414420154212352,2,0.95773625
t293,1113414420154212352,3,0.018770106
t294,1113414420154212352,4,0.018529803
t295,1113637470476759041,2,0.5206515
t296,1113637470476759041,3,0.46035302
t297,1113637470476759041,4,0.014982012
t298,1113651341534961665,2,0.9658299
t299,1113651341534961665,3,0.015175425
t300,1113651341534961665,4,0.0149813555
t301,1113796752623194114,2,0.013605141
t302,1113796752623194114,3,0.9556105
t303,1113796752623194114,4,0.02428011
t304,1113810207258419200,2,0.6758622
t305,1113810207258419200,3,0.31207308
t306,1114282345513746432,1,0.997133
t307,1114285806217199617,1,0.997133
t308,1114296268715511808,2,0.32329872
t309,1114296268715511808,3,0.65770614
t310,1114296268715511808,4,0.014981726
t311,1114979978569895936,2,0.9874521
t312,1115081810545917953,3,0.980195
t313,1115081810545917953,4,0.010832906
t314,1115095156825391106,2,0.010382987
t315,1115095156825391106,3,0.9661227
t316,1115095156825391106,4,0.01853053
t317,1115101509140865025,3,0.97261053
t318,1115101509140865025,4,0.014981431
t319,1115119191122518016,2,0.97132075
t320,1115119191122518016,3,0.012737003
t321,1115119191122518016,4,0.012573875
t322,1115136384480579584,2,0.31883252
t323,1115136384480579584,3,0.6714635
t324,1115328370684891137,3,0.98829687
t325,1115407087213924352,1,0.9973236
t326,1116386761909911562,2,0.9874524
t327,1116390610406137856,2,0.9902071
t328,1116418043733782529,3,0.9801946
t329,1116418043733782529,4,0.010833106
t330,1116427542284709888,3,0.9906033
t331,1116447694153834496,2,0.9752922
t332,1116447694153834496,3,0.0109730745
t333,1116447694153834496,4,0.010832786
t334,1116470608739487744,2,0.9658298
t335,1116470608739487744,3,0.015175437
t336,1116470608739487744,4,0.014981451
t337,1116522146489085952,2,0.6791025
t338,1116522146489085952,3,0.18714644
t339,1116522146489085952,4,0.13120201
t340,1116528609076944896,2,0.9825428
t341,1116688708558893057,2,0.986504
t342,1116802072479961088,3,0.9860073
t343,1116856343539978247,1,0.997133
t344,1116951375747977216,2,0.43868074
t345,1116951375747977216,3,0.5305339
t346,1116951375747977216,4,0.024280893
t347,1117026331269582848,3,0.98449016
t348,1117218306186985473,1,0.9972124
t349,1117556971073417216,3,0.97261
t350,1117556971073417216,4,0.0149817085
t351,1117858328095252480,3,0.9882969
t352,1118004444757725184,3,0.98449004
t353,1118230739999445000,3,0.9860071
t354,1118258087092260865,3,0.9801951
t355,1118258087092260865,4,0.010832825
t356,1118638752832921601,3,0.98600733
t357,1118916429078601729,2,0.98254323
t358,1118964712862035969,2,0.5292403
t359,1118964712862035969,3,0.45869526
t360,1119691890314448896,2,0.23964605
t361,1119691890314448896,3,0.6411124
t362,1119691890314448896,4,0.11696891
t363,1119711951897149442,3,0.98260385
t364,1120121408418385920,2,0.010383291
t365,1120121408418385920,3,0.9661224
