geoID,geoName,coordinateID
12,Tlalpan,c798
2,Azcapotzalco,c799
7,Iztapalapa,c800
15,Cuauhtémoc,c801
15,Cuauhtémoc,c802
12,Tlalpan,c803
2,Azcapotzalco,c804
7,Iztapalapa,c805
3,Coyoacán,c806
7,Iztapalapa,c807
7,Iztapalapa,c808
15,Cuauhtémoc,c809
11,Tláhuac,c810
4,Cuajimalpa de Morelos,c811
13,Xochimilco,c812
15,Cuauhtémoc,c813
14,Benito Juárez,c814
12,Tlalpan,c815
7,Iztapalapa,c816
10,Álvaro Obregón,c817
13,Xochimilco,c818
15,Cuauhtémoc,c819
7,Iztapalapa,c820
2,Azcapotzalco,c821
12,Tlalpan,c822
15,Cuauhtémoc,c823
3,Coyoacán,c824
13,Xochimilco,c825
5,Gustavo A. Madero,c826
12,Tlalpan,c827
14,Benito Juárez,c828
15,Cuauhtémoc,c829
12,Tlalpan,c830
12,Tlalpan,c831
14,Benito Juárez,c832
10,Álvaro Obregón,c833
12,Tlalpan,c834
16,Miguel Hidalgo,c835
10,Álvaro Obregón,c836
10,Álvaro Obregón,c837
3,Coyoacán,c838
6,Iztacalco,c839
7,Iztapalapa,c840
7,Iztapalapa,c841
15,Cuauhtémoc,c842
2,Azcapotzalco,c843
13,Xochimilco,c844
15,Cuauhtémoc,c845
7,Iztapalapa,c846
13,Xochimilco,c847
12,Tlalpan,c848
10,Álvaro Obregón,c849
12,Tlalpan,c850
13,Xochimilco,c851
7,Iztapalapa,c852
7,Iztapalapa,c853
7,Iztapalapa,c854
7,Iztapalapa,c855
7,Iztapalapa,c856
13,Xochimilco,c857
11,Tláhuac,c858
16,Miguel Hidalgo,c859
7,Iztapalapa,c860
12,Tlalpan,c861
10,Álvaro Obregón,c862
7,Iztapalapa,c863
14,Benito Juárez,c864
15,Cuauhtémoc,c865
15,Cuauhtémoc,c866
16,Miguel Hidalgo,c867
14,Benito Juárez,c868
5,Gustavo A. Madero,c869
12,Tlalpan,c870
7,Iztapalapa,c871
10,Álvaro Obregón,c872
10,Álvaro Obregón,c873
15,Cuauhtémoc,c874
16,Miguel Hidalgo,c875
3,Coyoacán,c876
13,Xochimilco,c877
11,Tláhuac,c878
16,Miguel Hidalgo,c879
16,Miguel Hidalgo,c880
16,Miguel Hidalgo,c881
16,Miguel Hidalgo,c882
17,Venustiano Carranza,c883
4,Cuajimalpa de Morelos,c884
14,Benito Juárez,c885
7,Iztapalapa,c886
14,Benito Juárez,c887
7,Iztapalapa,c888
15,Cuauhtémoc,c889
17,Venustiano Carranza,c890
5,Gustavo A. Madero,c891
16,Miguel Hidalgo,c892
12,Tlalpan,c893
17,Venustiano Carranza,c894
2,Azcapotzalco,c895
2,Azcapotzalco,c896
12,Tlalpan,c897
10,Álvaro Obregón,c898
10,Álvaro Obregón,c899
12,Tlalpan,c900
12,Tlalpan,c901
15,Cuauhtémoc,c902
2,Azcapotzalco,c903
12,Tlalpan,c904
5,Gustavo A. Madero,c905
10,Álvaro Obregón,c906
5,Gustavo A. Madero,c907
14,Benito Juárez,c908
16,Miguel Hidalgo,c909
17,Venustiano Carranza,c910
4,Cuajimalpa de Morelos,c911
4,Cuajimalpa de Morelos,c912
4,Cuajimalpa de Morelos,c913
15,Cuauhtémoc,c914
12,Tlalpan,c915
7,Iztapalapa,c916
7,Iztapalapa,c917
7,Iztapalapa,c918
15,Cuauhtémoc,c919
5,Gustavo A. Madero,c920
7,Iztapalapa,c921
11,Tláhuac,c922
7,Iztapalapa,c923
5,Gustavo A. Madero,c924
7,Iztapalapa,c925
6,Iztacalco,c926
15,Cuauhtémoc,c927
7,Iztapalapa,c928
15,Cuauhtémoc,c929
14,Benito Juárez,c930
12,Tlalpan,c931
15,Cuauhtémoc,c932
5,Gustavo A. Madero,c933
15,Cuauhtémoc,c934
12,Tlalpan,c935
10,Álvaro Obregón,c936
12,Tlalpan,c937
12,Tlalpan,c938
13,Xochimilco,c939
8,La Magdalena Contreras,c940
5,Gustavo A. Madero,c941
5,Gustavo A. Madero,c942
13,Xochimilco,c943
12,Tlalpan,c944
16,Miguel Hidalgo,c945
7,Iztapalapa,c946
9,Milpa Alta,c947
11,Tláhuac,c948
5,Gustavo A. Madero,c949
7,Iztapalapa,c950
7,Iztapalapa,c951
12,Tlalpan,c952
7,Iztapalapa,c953
4,Cuajimalpa de Morelos,c954
5,Gustavo A. Madero,c955
16,Miguel Hidalgo,c956
2,Azcapotzalco,c957
15,Cuauhtémoc,c958
12,Tlalpan,c959
14,Benito Juárez,c960
7,Iztapalapa,c961
7,Iztapalapa,c962
7,Iztapalapa,c963
7,Iztapalapa,c964
16,Miguel Hidalgo,c965
12,Tlalpan,c966
10,Álvaro Obregón,c967
10,Álvaro Obregón,c968
7,Iztapalapa,c969
16,Miguel Hidalgo,c970
12,Tlalpan,c971
7,Iztapalapa,c972
3,Coyoacán,c973
7,Iztapalapa,c974
7,Iztapalapa,c975
3,Coyoacán,c976
12,Tlalpan,c977
10,Álvaro Obregón,c978
8,La Magdalena Contreras,c979
11,Tláhuac,c980
15,Cuauhtémoc,c981
13,Xochimilco,c982
8,La Magdalena Contreras,c983
12,Tlalpan,c984
11,Tláhuac,c985
7,Iztapalapa,c986
5,Gustavo A. Madero,c987
12,Tlalpan,c988
7,Iztapalapa,c989
16,Miguel Hidalgo,c990
16,Miguel Hidalgo,c991
13,Xochimilco,c992
16,Miguel Hidalgo,c993
12,Tlalpan,c994
10,Álvaro Obregón,c995
7,Iztapalapa,c996
14,Benito Juárez,c997
16,Miguel Hidalgo,c998
6,Iztacalco,c999
11,Tláhuac,c1000
11,Tláhuac,c1001
10,Álvaro Obregón,c1002
7,Iztapalapa,c1003
2,Azcapotzalco,c1004
10,Álvaro Obregón,c1005
15,Cuauhtémoc,c1006
8,La Magdalena Contreras,c1007
13,Xochimilco,c1008
12,Tlalpan,c1009
12,Tlalpan,c1010
7,Iztapalapa,c1011
11,Tláhuac,c1012
12,Tlalpan,c1013
15,Cuauhtémoc,c1014
2,Azcapotzalco,c1015
10,Álvaro Obregón,c1016
17,Venustiano Carranza,c1017
13,Xochimilco,c1018
13,Xochimilco,c1019
7,Iztapalapa,c1020
7,Iztapalapa,c1021
2,Azcapotzalco,c1022
7,Iztapalapa,c1023
14,Benito Juárez,c1024
10,Álvaro Obregón,c1025
7,Iztapalapa,c1026
15,Cuauhtémoc,c1027
11,Tláhuac,c1028
16,Miguel Hidalgo,c1029
16,Miguel Hidalgo,c1030
15,Cuauhtémoc,c1031
4,Cuajimalpa de Morelos,c1032
12,Tlalpan,c1033
12,Tlalpan,c1034
10,Álvaro Obregón,c1035
7,Iztapalapa,c1036
10,Álvaro Obregón,c1037
10,Álvaro Obregón,c1038
2,Azcapotzalco,c1039
14,Benito Juárez,c1040
5,Gustavo A. Madero,c1041
5,Gustavo A. Madero,c1042
7,Iztapalapa,c1043
2,Azcapotzalco,c1044
