pubID,topicQuery,likeCount,replyCount,retweetCount,authorID,dateID,coordinateID
1110590924889952262,tránsito,4,0,0,277111294,d142,c142
1110594478572597248,tránsito,0,2,0,955245619240718336,d143,c143
1110598666862166017,tránsito,8,4,18,85393766,d144,c144
1110734521769570304,tránsito,0,2,0,903097695899934725,d145,c145
1110765191765979136,incendio,6,0,0,166594238,d146,c146
1110890811368136704,tránsito,7,3,1,812060605,d147,c147
1110903790125965314,tránsito,0,1,2,1022534991031488513,d148,c148
1111003732383330304,tránsito,0,1,0,907034630095867905,d149,c149
1111045393314267136,incendio,0,3,0,230007150,d150,c150
1111083338394230785,tránsito,0,1,0,903097695899934725,d151,c151
1111086004931358720,tránsito,0,1,0,907034630095867905,d152,c152
1111086133679669249,incendio,5,1,7,150861704,d153,c153
1111129916043476992,incendio,10,0,0,40098528,d154,c154
1111293688439889921,incendio,2,0,4,195951901,d155,c155
1111303208553582593,incendio,0,0,1,95949592,d156,c156
1111372192070012929,incendio,0,0,0,2288773188,d157,c157
1111579308345032704,incendio,9,2,5,195951901,d158,c158
1111680533199839232,tránsito,0,0,0,903097695899934725,d159,c159
1111681821027287040,tránsito,0,0,0,907034630095867905,d160,c160
1111686608846094336,incendio,1,0,1,106548161,d161,c161
1111867063017058306,incendio,1,1,1,432710841,d162,c162
1112056231458414593,incendio,0,0,0,82340948,d163,c163
1112479258260189184,tránsito,0,1,0,117848659,d164,c164
1112552687663497218,tránsito,1,0,0,1112548924378808320,d165,c165
1112729476335456257,tránsito,3,2,3,1020430410319216640,d166,c166
1112822401333673984,tránsito,0,0,0,134319754,d167,c167
1113250385978843136,incendio,0,0,1,422149542,d168,c168
1113414420154212352,tránsito,0,0,0,111463164,d169,c169
1113637470476759041,tránsito,0,0,0,182182957,d170,c170
1113651341534961665,incendio,0,0,0,105870328,d171,c171
1113796752623194114,incendio,2,0,0,122138735,d172,c172
1113810207258419200,incendio,0,0,0,625174147,d173,c173
1114282345513746432,tránsito,0,2,0,903097695899934725,d174,c174
1114285806217199617,tránsito,0,0,1,907034630095867905,d175,c175
1114296268715511808,tránsito,0,1,0,60649751,d176,c176
1114979978569895936,tránsito,0,1,0,231622052,d177,c177
1115081810545917953,incendio,1,0,2,893992406093365249,d178,c178
1115095156825391106,incendio,137,2,98,136763692,d179,c179
1115101509140865025,incendio,7,0,6,2955281005,d180,c180
1115119191122518016,incendio,0,0,0,832614617885052929,d181,c181
1115136384480579584,tránsito,0,1,0,1552466989,d182,c182
1115328370684891137,tránsito,0,0,0,71596342,d183,c183
1115407087213924352,tránsito,0,0,0,907034630095867905,d184,c184
1116386761909911562,tránsito,11,6,16,104920825,d185,c185
1116390610406137856,tránsito,5,0,0,807024104083750912,d186,c186
1116418043733782529,incendio,1,1,0,813234940657680384,d187,c187
1116427542284709888,tránsito,1,0,0,121376182,d188,c188
1116447694153834496,tránsito,4,2,0,283581314,d189,c189
1116470608739487744,tránsito,3,0,3,93556472,d190,c190
1116522146489085952,tránsito,0,0,0,168306068,d191,c191
1116528609076944896,tránsito,0,0,0,332060827,d192,c192
1116688708558893057,tránsito,0,2,0,111695279,d193,c193
1116802072479961088,incendio,5,1,0,121549722,d194,c194
1116856343539978247,tránsito,0,1,0,903097695899934725,d195,c195
1116951375747977216,incendio,0,0,1,875429260919324673,d196,c196
1117026331269582848,incendio,11,1,4,195951901,d197,c197
1117218306186985473,tránsito,0,0,0,903097695899934725,d198,c198
1117556971073417216,tránsito,5,0,0,476050170,d199,c199
1117858328095252480,tránsito,1,0,0,238242524,d200,c200
1118004444757725184,tránsito,0,1,0,3717425893,d201,c201
1118230739999445000,tránsito,0,0,0,790373131319848960,d202,c202
1118258087092260865,incendio,1,0,0,1563936229,d203,c203
1118638752832921601,tránsito,0,1,0,1482740335,d204,c204
1118916429078601729,tránsito,0,0,0,2608991350,d205,c205
