pubID,tokens,mentions,hashtags
1096565753275400192,"solo, ver, camioneta, pasar él, alto, girar, derecho, respetar, prioridad, peatonal, estacionado, banqueta, paso, peatonal, exceder, límite, velocidad, circular, contrario, general, pasar él, alto, regla, tránsito","pasotti_, avelezig, vampipe",
1096578329778446336,"seguir, hecho, violento, ciudad, reportar, seguridad, público, comando, incendiar, vivienda, hacer, minuto, calle, 108a, xochimilco, encontrar, corporación, lugar, hecho, parecer, lesionado",,Precaución
1096908154737176577,"precaución, incendio, panadería, av, insurgentes, ayuntamiento, tlalpan, cerca, av, san, fernando, bomberos, laborar",retioDF,
1097023296426524673,"circule, precaución, trafico, periférico, viaducto, tlalpan","Ross761982363, CLUBVIP10",
1097151057736671238,"servicio, emergencia, dirigir, rinoceronte, av, río, guadalupe, col, pueblo, san, juan, dragón, gam, incendio",,Precaución
1097929883420971008,"enviar, apoyo, infracción, trailer, rojo, poco, 716et7, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, andador, troncos, and, valladolid, col, nva, españa, alc, azcapotzalco","UCS_GCDMX, transito_CDMX",69
1097933588199366662,"incendio, pastizal, cerro, guadalupe, av, san, francisco, cerrar, guadalupe, col, selene, 1ra, sección, servicios, emergencia, camino",Alc_Tlahuac,"Precaución, C5"
1098029729683255296,"escuadrón, provocar, accidente, cruzar, calle, precaución, registrar, accidente, tránsito, avenida, benito, juarez, 35, escuadrón, muerte, cruzar, calle, percatar él",,
1098036477068484609,"querer, reportar, incendió, forestal, cerro, san, pedro, zacatelco, gustavo, madero",GobCDMX,
1098098315483320320,"tránsito, lento, lento, carretera, federal, mexico-toluca, puente, conaut, paseo, reforma, avenida, constituyentes, presencia, peregrinos, circule, precaución",,EnEsteMomento
1098314498257997824,"tráfico, pesado, periférico, bomberos, camino, incendio, pastizal, periférico, canal, nacional, col, parque, ecológico, xochimilco",XochimilcoAl,"Precaución, C5, detodoen"
1098325707053248512,"fuerte, incendio, pastizal, zona, parque, ecológico, xochimilco, precaución, vía",C5_CDMX,
1098352948193775616,"auxilio, incendio, incontrolable, chaleco, xochimilco, oler, quemado, contaminación, impresionante, doler, cabeza",,
1098357539903864832,"nube, contaminación, enorme, incendio, ecológico, xochimilco, tarde",,
1098370465326870528,"humo, extender, alcaldía, tláhuac, coyoacán, tlalpan, informar, precaución, cerrado, vialidad, anillo, periférico, oriente, antiguo, canal, cuenco",C5_CDMX,
1098383733420445703,"hoy, xochimilco, tocar, ver, cerca, incendio, área, alto, valor, ambiental, deber, recuperar, preservar",,
1098438655981617152,"incendio, activo, humo, contaminación, capitalino, si",,"Xochimilco, Popocatépetl, CDMX"
1098603986406596608,"día, así, presa, balcón, camiones, hoy, sólo, nuevo, preguntar, prohibido, cerrar, calle, según, reglamento, tránsito, auto, estirar, pasar","MHcesac, vromog, VILLALVAZO13, inveacdmx, AlcaldiaMHmx, MhVigilante, CDMX_Semovi",
1098607951856746496,"choque, súper, vía, entrada, tlalpan, precaución","asilascosasw, warkentin","Trafico, accidentedetransito, choque"
