dateID,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute
d206,2019-04-12 19:11:17,2019,4,12,19,11
d207,2019-04-13 01:28:54,2019,4,13,1,28
d208,2019-04-13 06:26:45,2019,4,13,6,26
d209,2019-04-13 19:09:35,2019,4,13,19,9
d210,2019-04-14 17:35:19,2019,4,14,17,35
d211,2019-04-15 13:32:48,2019,4,15,13,32
d212,2019-04-15 23:13:25,2019,4,15,23,13
d213,2019-04-16 14:12:38,2019,4,16,14,12
d214,2019-04-16 16:01:18,2019,4,16,16,1
d215,2019-04-17 10:00:33,2019,4,17,10,0
d216,2019-04-17 17:13:56,2019,4,17,17,13
d217,2019-04-18 11:37:19,2019,4,18,11,37
d218,2019-04-18 14:49:11,2019,4,18,14,49
d219,2019-04-20 14:58:44,2019,4,20,14,58
d220,2019-04-20 16:18:27,2019,4,20,16,18
d221,2019-04-21 19:25:29,2019,4,21,19,25
d222,2019-04-22 19:33:23,2019,4,22,19,33
d223,2019-04-22 20:07:07,2019,4,22,20,7
d224,2019-04-22 22:49:11,2019,4,22,22,49
d225,2019-04-23 09:43:15,2019,4,23,9,43
d226,2019-04-23 23:27:51,2019,4,23,23,27
d227,2019-04-24 14:24:20,2019,4,24,14,24
d228,2019-04-25 06:32:34,2019,4,25,6,32
d229,2019-04-25 20:06:02,2019,4,25,20,6
d230,2019-04-26 10:07:38,2019,4,26,10,7
d231,2019-04-26 15:43:11,2019,4,26,15,43
d232,2019-04-26 18:35:40,2019,4,26,18,35
d233,2019-04-26 19:38:56,2019,4,26,19,38
d234,2019-04-27 17:54:35,2019,4,27,17,54
d235,2019-04-28 23:13:57,2019,4,28,23,13
d236,2019-05-02 18:36:23,2019,5,2,18,36
d237,2019-05-03 10:04:54,2019,5,3,10,4
d238,2019-05-04 10:06:02,2019,5,4,10,6
d239,2019-05-04 18:17:39,2019,5,4,18,17
d240,2019-05-06 08:20:51,2019,5,6,8,20
d241,2019-05-07 11:26:03,2019,5,7,11,26
d242,2019-05-07 15:50:24,2019,5,7,15,50
d243,2019-05-07 19:44:18,2019,5,7,19,44
d244,2019-05-08 00:31:06,2019,5,8,0,31
d245,2019-05-08 14:39:15,2019,5,8,14,39
d246,2019-05-08 16:01:03,2019,5,8,16,1
d247,2019-05-08 18:05:47,2019,5,8,18,5
d248,2019-05-08 20:00:59,2019,5,8,20,0
d249,2019-05-09 18:37:36,2019,5,9,18,37
d250,2019-05-09 22:18:35,2019,5,9,22,18
d251,2019-05-10 13:42:35,2019,5,10,13,42
d252,2019-05-10 18:21:32,2019,5,10,18,21
d253,2019-05-10 22:52:06,2019,5,10,22,52
d254,2019-05-11 14:26:35,2019,5,11,14,26
d255,2019-05-11 20:06:28,2019,5,11,20,6
d256,2019-05-11 20:16:03,2019,5,11,20,16
d257,2019-05-11 20:27:55,2019,5,11,20,27
d258,2019-05-11 20:31:23,2019,5,11,20,31
d259,2019-05-11 20:59:24,2019,5,11,20,59
d260,2019-05-11 21:19:23,2019,5,11,21,19
d261,2019-05-11 22:00:20,2019,5,11,22,0
d262,2019-05-11 22:27:00,2019,5,11,22,27
d263,2019-05-12 00:22:07,2019,5,12,0,22
d264,2019-05-12 02:01:22,2019,5,12,2,1
d265,2019-05-12 06:46:14,2019,5,12,6,46
d266,2019-05-12 06:54:03,2019,5,12,6,54
d267,2019-05-12 10:33:02,2019,5,12,10,33
d268,2019-05-12 11:46:21,2019,5,12,11,46
d269,2019-05-12 18:50:15,2019,5,12,18,50
d270,2019-05-12 19:14:05,2019,5,12,19,14
d271,2019-05-12 22:11:55,2019,5,12,22,11
d272,2019-05-12 23:33:44,2019,5,12,23,33
d273,2019-05-13 07:10:55,2019,5,13,7,10
d274,2019-05-13 09:40:26,2019,5,13,9,40
d275,2019-05-13 11:00:28,2019,5,13,11,0
d276,2019-05-13 13:33:59,2019,5,13,13,33
d277,2019-05-13 14:03:45,2019,5,13,14,3
d278,2019-05-13 20:02:13,2019,5,13,20,2
d279,2019-05-13 20:10:23,2019,5,13,20,10
d280,2019-05-13 21:25:02,2019,5,13,21,25
d281,2019-05-14 08:55:05,2019,5,14,8,55
d282,2019-05-14 09:14:43,2019,5,14,9,14
d283,2019-05-14 09:41:50,2019,5,14,9,41
d284,2019-05-14 11:09:04,2019,5,14,11,9
d285,2019-05-14 11:36:04,2019,5,14,11,36
d286,2019-05-14 11:37:59,2019,5,14,11,37
d287,2019-05-14 11:45:13,2019,5,14,11,45
d288,2019-05-14 14:28:46,2019,5,14,14,28
d289,2019-05-14 16:54:54,2019,5,14,16,54
d290,2019-05-14 19:21:14,2019,5,14,19,21
d291,2019-05-14 21:47:13,2019,5,14,21,47
d292,2019-05-14 21:47:23,2019,5,14,21,47
d293,2019-05-14 23:19:08,2019,5,14,23,19
d294,2019-05-15 01:04:13,2019,5,15,1,4
d295,2019-05-15 07:11:49,2019,5,15,7,11
d296,2019-05-15 09:15:04,2019,5,15,9,15
d297,2019-05-15 10:18:07,2019,5,15,10,18
d298,2019-05-15 10:39:42,2019,5,15,10,39
d299,2019-05-15 11:33:15,2019,5,15,11,33
d300,2019-05-15 12:09:32,2019,5,15,12,9
d301,2019-05-15 12:50:45,2019,5,15,12,50
d302,2019-05-15 16:28:31,2019,5,15,16,28
d303,2019-05-15 17:52:08,2019,5,15,17,52
d304,2019-05-15 18:03:13,2019,5,15,18,3
d305,2019-05-15 18:30:29,2019,5,15,18,30
d306,2019-05-15 20:23:56,2019,5,15,20,23
d307,2019-05-15 20:26:01,2019,5,15,20,26
d308,2019-05-15 20:39:58,2019,5,15,20,39
d309,2019-05-16 08:13:29,2019,5,16,8,13
d310,2019-05-16 09:29:55,2019,5,16,9,29
d311,2019-05-16 10:06:36,2019,5,16,10,6
d312,2019-05-16 14:12:37,2019,5,16,14,12
d313,2019-05-16 15:20:41,2019,5,16,15,20
d314,2019-05-16 16:11:17,2019,5,16,16,11
d315,2019-05-16 17:04:21,2019,5,16,17,4
d316,2019-05-16 20:08:32,2019,5,16,20,8
d317,2019-05-16 22:41:20,2019,5,16,22,41
d318,2019-05-16 23:39:00,2019,5,16,23,39
d319,2019-05-17 11:26:02,2019,5,17,11,26
d320,2019-05-17 13:38:55,2019,5,17,13,38
d321,2019-05-17 15:31:19,2019,5,17,15,31
d322,2019-05-17 19:42:41,2019,5,17,19,42
d323,2019-05-18 05:38:19,2019,5,18,5,38
d324,2019-05-18 11:32:51,2019,5,18,11,32
