coordinateID,geoID,geoName,longitude,latitude
c231,12,Tlalpan,-99.2062207957,19.1983396763
c232,7,Iztapalapa,-99.0567989642,19.3491663204
c233,17,Venustiano Carranza,-99.0931057959,19.4304954545
c234,2,Azcapotzalco,-99.1821069423,19.4853286147
c235,2,Azcapotzalco,-99.1821069423,19.4853286147
c236,17,Venustiano Carranza,-99.0931057959,19.4304954545
c237,2,Azcapotzalco,-99.1821069423,19.4853286147
c238,7,Iztapalapa,-99.0567989642,19.3491663204
c239,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c240,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c241,14,Benito Juárez,-99.1611346584,19.3806424162
c242,15,Cuauhtémoc,-99.259495,19.3863707
c243,15,Cuauhtémoc,-99.128294,19.4043522
c244,12,Tlalpan,-99.2062207957,19.1983396763
c245,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c246,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c247,16,Miguel Hidalgo,-99.1843501,19.3998346
c248,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c249,16,Miguel Hidalgo,-99.18789996,19.40063227
c250,10,Álvaro Obregón,-99.1919955,19.357102
c251,12,Tlalpan,-99.2062207957,19.1983396763
c252,12,Tlalpan,-99.2062207957,19.1983396763
c253,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c254,13,Xochimilco,-99.0903636045,19.2451450458
c255,12,Tlalpan,-99.2062207957,19.1983396763
c256,13,Xochimilco,-99.0903636045,19.2451450458
c257,15,Cuauhtémoc,-99.259495,19.3863707
c258,7,Iztapalapa,-99.0567989642,19.3491663204
c259,13,Xochimilco,-99.0903636045,19.2451450458
c260,12,Tlalpan,-99.140238,19.2846922
c261,14,Benito Juárez,-99.1611346584,19.3806424162
c262,13,Xochimilco,-99.0903636045,19.2451450458
c263,10,Álvaro Obregón,-99.246819712,19.336175562
c264,7,Iztapalapa,-99.0567989642,19.3491663204
c265,13,Xochimilco,-99.0903636045,19.2451450458
c266,13,Xochimilco,-99.0903636045,19.2451450458
c267,6,Iztacalco,-99.094329797,19.396911897
c268,3,Coyoacán,-99.1503763525,19.3266672536
c269,13,Xochimilco,-99.0903636045,19.2451450458
c270,15,Cuauhtémoc,-99.1490557562,19.4313734294
c271,10,Álvaro Obregón,-99.1919955,19.357102
c272,12,Tlalpan,-99.140238,19.2846922
c273,2,Azcapotzalco,-99.1821069423,19.4853286147
c274,2,Azcapotzalco,-99.1821069423,19.4853286147
c275,7,Iztapalapa,-99.0567989642,19.3491663204
c276,15,Cuauhtémoc,-99.1490557562,19.4313734294
c277,6,Iztacalco,-99.094329797,19.396911897
c278,7,Iztapalapa,-99.0567989642,19.3491663204
c279,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c280,13,Xochimilco,-99.0903636045,19.2451450458
c281,12,Tlalpan,-99.2062207957,19.1983396763
c282,2,Azcapotzalco,-99.1821069423,19.4853286147
c283,15,Cuauhtémoc,-99.259495,19.3863707
c284,15,Cuauhtémoc,-99.259495,19.3863707
c285,15,Cuauhtémoc,-99.259495,19.3863707
c286,16,Miguel Hidalgo,-99.1843501,19.3998346
c287,3,Coyoacán,-99.1503763525,19.3266672536
c288,7,Iztapalapa,-99.0567989642,19.3491663204
c289,2,Azcapotzalco,-99.1821069423,19.4853286147
c290,7,Iztapalapa,-99.0567989642,19.3491663204
c291,7,Iztapalapa,-99.0567989642,19.3491663204
c292,13,Xochimilco,-99.0903636045,19.2451450458
c293,10,Álvaro Obregón,-99.1919955,19.357102
c294,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c295,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c296,7,Iztapalapa,-99.0567989642,19.3491663204
c297,6,Iztacalco,-99.18171767,19.36447815
c298,14,Benito Juárez,-99.1611346584,19.3806424162
c299,13,Xochimilco,-99.0903636045,19.2451450458
c300,10,Álvaro Obregón,-99.246819712,19.336175562
c301,13,Xochimilco,-99.0903636045,19.2451450458
c302,15,Cuauhtémoc,-99.1490557562,19.4313734294
c303,7,Iztapalapa,-99.0567989642,19.3491663204
c304,12,Tlalpan,-99.2058092,19.2970107
c305,14,Benito Juárez,-99.1611346584,19.3806424162
c306,15,Cuauhtémoc,-99.259495,19.3863707
c307,7,Iztapalapa,-99.0567989642,19.3491663204
c308,16,Miguel Hidalgo,-99.1843501,19.3998346
c309,3,Coyoacán,-99.1503763525,19.3266672536
c310,7,Iztapalapa,-99.0567989642,19.3491663204
c311,12,Tlalpan,-99.2062207957,19.1983396763
c312,13,Xochimilco,-99.0903636045,19.2451450458
c313,2,Azcapotzalco,-99.1821069423,19.4853286147
c314,7,Iztapalapa,-99.0567989642,19.3491663204
c315,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c316,6,Iztacalco,-99.137171,19.375769
c317,12,Tlalpan,-99.2062207957,19.1983396763
c318,12,Tlalpan,-99.2062207957,19.1983396763
c319,12,Tlalpan,-99.2058092,19.2970107
c320,7,Iztapalapa,-99.0567989642,19.3491663204
c321,16,Miguel Hidalgo,-99.1843501,19.3998346
c322,2,Azcapotzalco,-99.1821069423,19.4853286147
c323,15,Cuauhtémoc,-99.1490557562,19.4313734294
c324,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c325,14,Benito Juárez,-99.1611346584,19.3806424162
c326,16,Miguel Hidalgo,-99.180678,19.444937
c327,10,Álvaro Obregón,-99.1919955,19.357102
c328,12,Tlalpan,-99.2062207957,19.1983396763
c329,7,Iztapalapa,-99.0567989642,19.3491663204
c330,2,Azcapotzalco,-99.1821069423,19.4853286147
c331,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c332,11,Tláhuac,-99.0028216137,19.2769983772
c333,6,Iztacalco,-99.094329797,19.396911897
c334,6,Iztacalco,-99.094329797,19.396911897
c335,15,Cuauhtémoc,-99.128294,19.4043522
c336,3,Coyoacán,-99.1503763525,19.3266672536
c337,3,Coyoacán,-99.1503763525,19.3266672536
c338,3,Coyoacán,-99.1503763525,19.3266672536
c339,15,Cuauhtémoc,-99.1490557562,19.4313734294
c340,2,Azcapotzalco,-99.1821069423,19.4853286147
c341,10,Álvaro Obregón,-99.246819712,19.336175562
c342,12,Tlalpan,-99.2062207957,19.1983396763
c343,15,Cuauhtémoc,-99.259495,19.3863707
c344,10,Álvaro Obregón,-99.246819712,19.336175562
c345,5,Gustavo A. Madero,-99.118665,19.484399
