pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,dateID,geoID
1086309864421425157,tránsito,Accidente vial en la carretera federal 190 a la altura de la entrada a la población de #Xochimilco #Etla #Oaxaca precaución tráfico lento. https://t.co/kqIg0HKS6a,0,0,0,744649906753703936,d33,13
1086326977831653376,incendio,"#Precaución  Servicios de emergencia  trabajan por incendio  de casa habitación sobre Av. Azcapotzalco y Mar Mediterráneo, Col. Tacuba, MIH. #C5 https://t.co/vFC5MEKZuA",19,0,7,195951901,d34,2
1086800203615817732,tránsito,@SocialSantaFeMx @CUAJIMALPACDMX @ContaderoUnidos @AdrianRubalcava @uv_cuajimalpa @PorCuajimalpa Perdón pero esa calle donde estaba el hospitalito no  es para salir a la carretera. Dos si las personas dejaran de estacionarse en toda esa calle pues está prohibido. El tránsito sería mejor.,1,0,0,594254451,d35,4
1087536431290109955,tránsito,#Precaución Árbol caído en Calle Miguel Hidalgo y Calle Río Seco en el municipio de Tlaquepaque https://t.co/ikCtyodKQ0,5,1,0,263809798,d36,16
1087922354641092608,tránsito,"@UCS_GCDMX @SSP_CDMX  para reportar camioneta en el parabus que esta a un costado del Hospital Gea González, obstruyen el ascenso y descenso de pasajeros así como el tráfico ya que uno de los dos carriles de Calzada Tlalpan casi esquina con San Fernando https://t.co/tuiyPTPITg",0,2,0,1083485392979066883,d37,12
1088068380446343168,tránsito,"@ClaraBrugadaM @Alc_Iztapalapa  hasta cuando tienen planeado arreglar la calle de Cinematografistas? Ya va un año si es de ustedes por favor no tarden, si es la constructora ya exíjanle, polvo, tráfico, contaminación, descomposturas",0,0,0,229730773,d38,12
1088095858346717187,tránsito,Vía 9-1-1 accidente de tránsito es atendido por unidades de emergencia en 5 de Mayo y Miguel Hidalgo; Infonavit La Carmelita. Maneje con precaución.,1,0,1,846928145244663808,d39,16
1088118904965263360,incendio,"Controlan incendio de unidad del @MetrobusCDMX en Río Mayo y San Rafael Atilxco, @Alc_Iztapalapa, sin lesionados.   #Precaución https://t.co/Ahcll53pKU",10,0,3,293063533,d40,7
1088131677862416385,tránsito,"@BernardoBaranda @Alc_Iztapalapa @ClaraBrugadaM @CDMX_Semovi Deberían de hacerlo en conjunto con la alcaldía de Cuauhtémoc, siempre cerrada la vialidad de 20 de noviembre, muchas tráfico #contaminación prepotencia de policías que cierran",0,0,0,177730590,d41,7
1088416073043660800,tránsito,@OVIALCDMX diario sobre Popocatépetl entre universidad y Cuauhtémoc el carril confinado sirve de estacionamiento para pipas y gente que va a la plaza NO ES ÚTIL ESTE CARRIL SOLO OCASIONA TRÁFICO Y CONTAMINACIÓN https://t.co/Kl46a7wuc0,0,2,0,4384974203,d42,15
1088546987270524928,tránsito,"#AVISO  Trabajando en equipo con @SIMVTrc en obras de recarpeteo sobre Calz. Cuauhtémoc y Corregidora, tránsito lento en la zona, circule con precaución.  #VialidadTorreón #TorreónCiudadEnEquipo #EnEquipoLoHacemosMejor @MunicipioTRC https://t.co/LQ6Zzowfoq",6,0,2,2507897137,d43,15
1088607683106795522,tránsito,"@Alc_Iztapalapa @ClaraBrugadaM Cuando va a limpiar de carros abandonados en el eje 5 casi esquina con la Av guelatao,  ocasiona más tráfico más contaminación lo que ocasionan.",1,0,0,1024121354931585024,d44,7
1088622131653439489,tránsito,"@Claudiashein @andreslajous Señora Claudia, sobre av Santa Lucía, en la alcaldía Álvaro Obregón, col Olivar del Conde se debería remover todos los vehículos que están parados sobre una vía primaria, esos sólo ocasionan contaminación y más tráfico, ademas los microbuses van a buelata de rueda cargando pasaj",3,0,1,117997817,d45,10
1088815750855487490,tránsito,"@ALEIDAALAVEZ @Alc_Iztapalapa @Reforma @vozdeiztapalapa @ClaraBrugadaM @mario_delgado @CapitalMX_ @LeticiaDiazAgu3 @ojedaizt @Claudiashein Se requiere que se limpie el eje 5 casi esquina guelatao, hay muchos carro abandonados que quitan dos carriles al eje, provocando mucho tráfico y pérdida de tiempo y más contaminación.",4,1,3,1024121354931585024,d46,7
1088962452304220160,tránsito,"@Alc_Iztapalapa @Cul_Iztapalapa @ClaraBrugadaM En la Col. Santa Cruz Meyehualco, se necesita un sendero seguro en la calle 39 o 47 desde Ermita hasta la calle 14 o Samuel Gompers para cuidar la integridad de vecinos y habitantes por tratarse de caminos con alto índice de tránsito e inseguridad!!",3,1,3,580408959,d47,7
1089598831753334784,tránsito,"Cerrar calles en Domingo es Ridículo, pero cerrar Avenidas principales (Lateral de Viaducto) es una tremenda Pendejada. Toda la semana está el Tránsito horrible, y el Domingo que Piensas estará tranquilo, no, Caos y Contaminación. @Claudiashein @DCMX @locatel_mx",0,0,0,392267545,d48,6
1089949842053521408,incendio,Precaución incendio en la alcaldía de #Tlalpan corregidora y Avenida de las Torres en la colonia Miguel Hidalgo segunda sección.,1,0,0,4882567385,d49,12
1089952860270481408,incendio,"#Precaución Se registra Incendio de Pastizal en Av. de las Torres y Corregidora, Col. Miguel Hidalgo, TLP. #C5. https://t.co/Rg4l09HLav",86,2,34,195951901,d50,16
1090340920271228929,tránsito,@Claudiashein @BJAlcaldia en ambos sentidos están en obras! Y la regulación para hacerlas fuera de hora pico y evitar contaminación y tráfico!? @AlcaldiaAO @RedVialRC @radioredam @VialDF @retioDF https://t.co/GOn85mWM5f,0,0,0,278615043,d51,10
1090351949961154560,incendio,En este pueblo d tlalpan ya comensaron a quemar los terrenos sin importar la contaminacion ni si afecta los terrenos contiguo por el fuego... La irresponsabilidad de las personas es descomunal.@TlalpanVecinos @TlalpanAl @patiaceves @SEMARNAT_mx @IEcologiaUNAM https://t.co/0Xw1icJqzh,4,2,5,906126334698459136,d52,12
1090669307166507008,incendio,Precaución @ventelsdistrib el edificio de al lado está sacando humo #incendio tal vez se ve mucho humo en @Alc_Iztapalapa https://t.co/Zdo84I1JCx,0,0,0,135137502,d53,7
1090704624439447552,tránsito,"Autopista #Mexico #Cuernavaca precaución hay un accidente km28 pasando caseta de #Tlalpan en las curvas, tránsito lento en ambos sentidos! https://t.co/nSRfPLNVAL",7,0,6,315451237,d54,12
1090767518002790400,tránsito,"@OVIALCDMX, @transito_CDMX, Favor de pasar a infraccionar trailer bco pcas 75AB6P, infringiendo RT, estacionado en lugar prohibido c/disco ""N/E transporte Pesado"", obstruyendo entrada en Av Los Ángeles #70, entre And Troncoso y And Valladolid, Col Nva España, Alcal. Azcapotzalco.",0,1,0,903097695899934725,d55,2
1090785552046190594,tránsito,@OVIALCDMX  todos los@días este es el@panorama en Popocatépetl entre universidad y Cuauhtémoc Cuando harán algo? El carril solo es un gran estacionamiento que genera mucho tráfico y contaminación https://t.co/Plf3gukYNJ,0,1,0,4384974203,d56,15
1091505928862556160,tránsito,@SSP_CDMX @IztacalcoAl @Alc_Iztapalapa quiero denunciar que a la altura de periférico oriente canal de San Juan entre sur 22 y sur 24 hay muchos estudiantes drogándose y obstaculizando el libre tránsito están enfrente de una vinateria que les venden alcohol,0,2,0,124197448,d57,7
1091514811341430785,tránsito,"Esto es el pan de cada día en el cruce del @CCHUNAM #Azcapotzalco, a pesar del señalamiento de ""prohibido"" @vidallerenas @072AvialCDMX @AzcapotzalcoMx @seduviCDMX @GobCDMX  @TodosSomosAzcap es transporte público del #Edomex Lo hacen aunque esté el de tránsito. https://t.co/651uVeLD3f",1,0,1,1091505356478459904,d58,2
1092836045752803332,tránsito,"@CEAC_SSPCMexico quiero reportar la doble fila que de hace en calle sur 138 en la col américas en la alcaldía de Álvaro Obregón lado del colegio americano porque afectan la vialidad, le comenté a unos PBI pero dicen que no les hacen caso por no ser de tránsito https://t.co/HBDxD5Z674",1,0,0,198033293,d59,10
1092897946033577984,tránsito,"Automóvil estacionado más de 10min en Horacio, Polanco. Neta, alguien sabe qué onda con los elementos de tránsito? aún existen? Son insuficientes? Están escondidos, en las calles que todos sabemos, esperando que alguien haga un cruce prohibido? @MHAlcaldia @OVIALCDMX #Transito https://t.co/OD0BEKXBNm",3,3,1,1056974464607490048,d60,15
1092931525660811265,tránsito,"Entérate: Organizaciones de diferentes comunidades bloquean entrada principal al aeropuerto Benito Juárez de #Oaxaca, pasajeros afectados rodean bloqueo por parque el Tequio. Precaución, tráfico en la zona. https://t.co/J0F2auPzX4",0,0,0,175922142,d61,14
1093616350151561218,incendio,@aqcazteca @C5_CDMX @SEDEMA_CDMX donde puedo reportar a unas personas que queman basura esto es en santa María Nativitas delegación Xochimilco pero la señora quema de 2 a 3 veces por semana la basura y es mucho humo negro el que sale,0,1,0,2878333274,d62,13
1093675056297857024,tránsito,@OVIALCDMX @UCS_GCDMX @SSP_CDMX @VigilanteCDMX Buenas noches sigo en espera de apoyo vial o de visita de personal de tránsito para poder confirmar denuncia de automóvil que obstruye la entrada a mi domicilio,0,0,0,3293707669,d63,10
1093955245519110144,tránsito,"@UCS_GCDMX, @transito_CDMX, Favor de pasar a infraccionar trailer rojo pcas 19AJ8C, infringiendo RT, estacionado en lugar prohibido c/disco ""N/E Transporte Pesado"", obstruyendo entrada en Av Los Ángeles #69, entre And Troncoso y And Valladolid, Col Nva España, Alca. Azcapotzalco.",0,0,0,907034630095867905,d64,2
